source_platform,listing_id,title,make,model,year,mileage_km,engine_cc,fuel_type,transmission,body_type,price_jpy,price_usd,cf_price_usd,destination_port,currency,location,listing_url,image_url,is_cleaned,scraped_at
BE FORWARD,CD884363,2021 TOYOTA PROBOX VAN DX COMFORT,Toyota,Probox Van Dx Comfort,2021.0,74518.0,490.0,Petrol,Automatic,Van,822388.0,5510.0,7407.0,Mombasa,USD,Kyushu,https://www.beforward.jp/toyota/probox-van/cd884363/id/15856399/,https://image-cdn.beforward.jp/medium/202607/15856399/CD884363_295de8.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE050089,2020 TOYOTA YARIS X,Toyota,Yaris X,2020.0,86563.0,990.0,Petrol,Automatic,Sedan,764179.0,5120.0,6816.0,Mombasa,USD,Nagoya,https://www.beforward.jp/toyota/yaris/ce050089/id/15946999/,https://image-cdn.beforward.jp/medium/202607/15946999/CE050089_1e6487.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE050090,2020 TOYOTA YARIS X,Toyota,Yaris X,2020.0,101966.0,990.0,Petrol,Automatic,Sedan,744776.0,4990.0,6686.0,Mombasa,USD,Nagoya,https://www.beforward.jp/toyota/yaris/ce050090/id/15947033/,https://image-cdn.beforward.jp/medium/202607/15947033/CE050090_d31b6d.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE050097,2020 TOYOTA YARIS X,Toyota,Yaris X,2020.0,66573.0,990.0,Petrol,Automatic,Sedan,783582.0,5250.0,6946.0,Mombasa,USD,Nagoya,https://www.beforward.jp/toyota/yaris/ce050097/id/15944018/,https://image-cdn.beforward.jp/medium/202607/15944018/CE050097_03fdd0.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE053025,2018 TOYOTA MARK X 250G F PACKAGE,Toyota,Mark X 250G F Package,2018.0,82640.0,490.0,Petrol,Automatic,Sedan,1064179.0,7130.0,9143.0,Mombasa,USD,Yokohama,https://www.beforward.jp/toyota/mark-x/ce053025/id/15943865/,https://image-cdn.beforward.jp/medium/202607/15943865/CE053025_7e12a2.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CD908036,2018 TOYOTA HIACE VAN LONG DX,Toyota,Hiace Van Long Dx,2018.0,174256.0,990.0,Petrol,Automatic,Van,1207463.0,8090.0,10528.0,Mombasa,USD,Yokohama,https://www.beforward.jp/toyota/hiace-van/cd908036/id/15889197/,https://image-cdn.beforward.jp/medium/202607/15889197/CD908036_b3eb65.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE053042,2018 TOYOTA HIACE VAN,Toyota,Hiace Van,2018.0,203062.0,990.0,Petrol,Automatic,Van,1188060.0,7960.0,10388.0,Mombasa,USD,Yokohama,https://www.beforward.jp/toyota/hiace-van/ce053042/id/15947055/,https://image-cdn.beforward.jp/medium/202607/15947055/CE053042_f00c82.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE053045,2018 TOYOTA HIACE VAN LONG DX,Toyota,Hiace Van Long Dx,2018.0,178827.0,990.0,Petrol,Automatic,Van,1207463.0,8090.0,10594.0,Mombasa,USD,Yokohama,https://www.beforward.jp/toyota/hiace-van/ce053045/id/15947441/,https://image-cdn.beforward.jp/medium/202607/15947441/CE053045_0e87c0.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CD884348,2018 TOYOTA VITZ F,Toyota,Vitz F,2018.0,137407.0,990.0,Petrol,Automatic,Hatchback,573134.0,3840.0,5627.0,Mombasa,USD,Kyushu,https://www.beforward.jp/toyota/vitz/cd884348/id/15856205/,https://image-cdn.beforward.jp/medium/202607/15856205/CD884348_46099d.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE076796,2020 TOYOTA PASSO X S,Toyota,Passo X S,2020.0,94249.0,990.0,Petrol,Automatic,Sedan,495522.0,3320.0,5033.0,Mombasa,USD,Yokohama,https://www.beforward.jp/toyota/passo/ce076796/id/15961497/,https://image-cdn.beforward.jp/medium/202607/15961497/CE076796_318fc0.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE082073,2019 TOYOTA PROBOX VAN DX COMFORT,Toyota,Probox Van Dx Comfort,2019.0,211253.0,320.0,Petrol,Automatic,Van,629851.0,4220.0,6401.0,Mombasa,USD,Yokohama,https://www.beforward.jp/toyota/probox-van/ce082073/id/15974658/,https://image-cdn.beforward.jp/medium/202607/15974658/CE082073_63d6c4.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CD884318,2019 TOYOTA PROBOX VAN,Toyota,Probox Van,2019.0,148343.0,320.0,Petrol,Automatic,Van,668657.0,4480.0,6377.0,Mombasa,USD,Kyushu,https://www.beforward.jp/toyota/probox-van/cd884318/id/15854103/,https://image-cdn.beforward.jp/medium/202607/15854103/CD884318_eb99b0.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CD907939,2021 TOYOTA PROBOX VAN HYBRID F,Toyota,Probox Van Hybrid F,2021.0,148626.0,490.0,Petrol,Automatic,Van,725373.0,4860.0,6666.0,Mombasa,USD,Nagoya,https://www.beforward.jp/toyota/probox-van/cd907939/id/15892698/,https://image-cdn.beforward.jp/medium/202607/15892698/CD907939_cacc77.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CD907977,2019 TOYOTA VITZ F M PACKAGE,Toyota,Vitz F M Package,2019.0,100978.0,990.0,Petrol,Automatic,Hatchback,688060.0,4610.0,6376.0,Mombasa,USD,Yokohama,https://www.beforward.jp/toyota/vitz/cd907977/id/15892394/,https://image-cdn.beforward.jp/medium/202607/15892394/CD907977_062c62.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CD908027,2018 TOYOTA PROBOX VAN DX COMFORT,Toyota,Probox Van Dx Comfort,2018.0,99552.0,490.0,Petrol,Automatic,Van,725373.0,4860.0,6736.0,Mombasa,USD,Yokohama,https://www.beforward.jp/toyota/probox-van/cd908027/id/15888052/,https://image-cdn.beforward.jp/medium/202607/15888052/CD908027_067eb7.jpg?w=200,1,2026-07-22 12:48:11.230783
